Project Name,Writing,Cinematography,Directing,Original Score,Acting,Editing,Sound,Special Effects,Art Direction,Phase,NonMemPct,MemPct,AudncPct,Round,Ballots,CrewCount
A Lovely Adult Beverage,,,,,,,,,,1,12.15%,11.07%,11.85%,25,388,47
Advanced Doodling,,,,,,Second,,First,Second,2,18.03%,16.35%,16.97%,25,388,24
Beautiful Beast,,,,,,,,,,2,23.15%,25.92%,24.89%,25,388,9
Eyeball ,,,Second,,,,,Second,,2,15.75%,19.35%,18.02%,25,388,106
History of Paradise,,,,,,,,,,1,0.97%,1.48%,1.10%,25,388,12
Kill Zone,,,,,,,,,,1,0.83%,1.11%,0.90%,25,388,4
Mini Supreme,First,First,First,First,First,First,First,Second,First,1,38.44%,38.93%,38.57%,25,388,56
Moby Stick,,,,Second,,,Second,,,2,14.80%,11.12%,12.48%,25,388,9
Mr. Chandu,,,,,,,,,,1,6.90%,5.35%,6.48%,25,388,24
My Life as a Sock,,,,,Second,,,,,1,15.80%,20.11%,16.98%,25,388,48
"Next, the web series",Second,,,,,,Second,,,2,10.82%,13.68%,12.62%,25,388,62
Practice,,Second,,,,,,,,1,13.73%,13.84%,13.76%,25,388,12
Scratchers,,,,,,,,,,2,17.46%,13.57%,15.01%,25,388,13
Screamer,,,,,,,,,,1,2.55%,3.51%,2.81%,25,388,4
"Sorry, Dad",,,,,,,,,,1,7.11%,3.87%,6.23%,25,388,12
Vita Mors,,,,,,,,,,1,1.52%,0.74%,1.31%,25,388,1
